Country,year,Wind,Solar,Nuclear,Hydro
Netherlands,1900,,,,
Netherlands,1901,,,,
Netherlands,1902,,,,
Netherlands,1903,,,,
Netherlands,1904,,,,
Netherlands,1905,,,,
Netherlands,1906,,,,
Netherlands,1907,,,,
Netherlands,1908,,,,
Netherlands,1909,,,,
Netherlands,1910,,,,
Netherlands,1911,,,,
Netherlands,1912,,,,
Netherlands,1913,,,,
Netherlands,1914,,,,
Netherlands,1915,,,,
Netherlands,1916,,,,
Netherlands,1917,,,,
Netherlands,1918,,,,
Netherlands,1919,,,,
Netherlands,1920,,,,
Netherlands,1921,,,,
Netherlands,1922,,,,
Netherlands,1923,,,,
Netherlands,1924,,,,
Netherlands,1925,,,,
Netherlands,1926,,,,
Netherlands,1927,,,,
Netherlands,1928,,,,
Netherlands,1929,,,,
Netherlands,1930,,,,
Netherlands,1931,,,,
Netherlands,1932,,,,
Netherlands,1933,,,,
Netherlands,1934,,,,
Netherlands,1935,,,,
Netherlands,1936,,,,
Netherlands,1937,,,,
Netherlands,1938,,,,
Netherlands,1939,,,,
Netherlands,1940,,,,
Netherlands,1941,,,,
Netherlands,1942,,,,
Netherlands,1943,,,,
Netherlands,1944,,,,
Netherlands,1945,,,,
Netherlands,1946,,,,
Netherlands,1947,,,,
Netherlands,1948,,,,
Netherlands,1949,,,,
Netherlands,1950,,,,
Netherlands,1951,,,,
Netherlands,1952,,,,
Netherlands,1953,,,,
Netherlands,1954,,,,
Netherlands,1955,,,,
Netherlands,1956,,,,
Netherlands,1957,,,,
Netherlands,1958,,,,
Netherlands,1959,,,,
Netherlands,1960,,,,
Netherlands,1961,,,,
Netherlands,1962,,,,
Netherlands,1963,,,,
Netherlands,1964,,,,
Netherlands,1965,0.0,0.0,0.0,0.0
Netherlands,1966,0.0,0.0,0.0,0.0
Netherlands,1967,0.0,0.0,0.0,0.0
Netherlands,1968,0.0,0.0,0.028,0.0
Netherlands,1969,0.0,0.0,0.315,0.0
Netherlands,1970,0.0,0.0,0.368,0.0
Netherlands,1971,0.0,0.0,0.405,0.0
Netherlands,1972,0.0,0.0,0.326,0.0
Netherlands,1973,0.0,0.0,1.108,0.0
Netherlands,1974,0.0,0.0,3.277,0.0
Netherlands,1975,0.0,0.0,3.335,0.0
Netherlands,1976,0.0,0.0,3.872,0.0
Netherlands,1977,0.0,0.0,3.71,0.0
Netherlands,1978,0.0,0.0,4.06,0.0
Netherlands,1979,0.0,0.0,3.489,0.0
Netherlands,1980,0.0,0.0,4.2,0.0
Netherlands,1981,0.0,0.0,3.658,0.0
Netherlands,1982,0.0,0.0,3.897,0.0
Netherlands,1983,0.0,0.0,3.589,0.0
Netherlands,1984,0.0,0.0,3.711,0.0
Netherlands,1985,0.0,0.0,3.899,0.003
Netherlands,1986,0.001,0.0,4.216,0.003
Netherlands,1987,0.002,0.0,3.556,0.001
Netherlands,1988,0.016,0.0,3.675,0.002
Netherlands,1989,0.023,0.0,4.019,0.037
Netherlands,1990,0.06,0.0,3.5,0.09
Netherlands,1991,0.09,0.0,3.33,0.1
Netherlands,1992,0.15,0.0,3.8,0.12
Netherlands,1993,0.17,0.0,3.95,0.09
Netherlands,1994,0.24,0.0,3.97,0.1
Netherlands,1995,0.32,0.0,4.02,0.09
Netherlands,1996,0.44,0.0,4.16,0.08
Netherlands,1997,0.47,0.0,2.41,0.09
Netherlands,1998,0.64,0.0,3.81,0.11
Netherlands,1999,0.64,0.01,3.83,0.09
Netherlands,2000,0.83,0.01,3.93,0.14
Netherlands,2001,0.83,0.01,3.98,0.12
Netherlands,2002,0.95,0.02,3.91,0.11
Netherlands,2003,1.32,0.03,4.02,0.07
Netherlands,2004,1.87,0.03,3.82,0.09
Netherlands,2005,2.07,0.04,4.0,0.09
Netherlands,2006,2.74,0.04,3.47,0.11
Netherlands,2007,3.44,0.04,4.2,0.11
Netherlands,2008,4.26,0.04,4.17,0.1
Netherlands,2009,4.58,0.04,4.25,0.1
Netherlands,2010,3.99,0.06,3.97,0.1
Netherlands,2011,5.1,0.1,4.14,0.06
Netherlands,2012,4.98,0.19,3.91,0.1
Netherlands,2013,5.63,0.41,2.89,0.11
Netherlands,2014,5.8,0.73,4.09,0.11
Netherlands,2015,7.55,1.11,4.08,0.09
Netherlands,2016,8.17,1.6,3.96,0.1
Netherlands,2017,10.57,2.2,3.4,0.06
Netherlands,2018,10.55,3.71,3.51,0.07
Netherlands,2019,11.51,5.4,3.91,0.07
Netherlands,2020,15.27,8.57,4.09,0.05
Netherlands,2021,18.0,11.3,3.83,0.09
Netherlands,2022,21.49,17.08,4.16,0.05
Netherlands,2023,28.97,21.15,4.0,0.06
